Cultivo,Ubicaciones,Rendimiento,Tamaño,Fertilizantes
verde,La Mojonera,5.39,4,True
kumato,El Alquian,4.68,3,True
verde,El Alquian,2.4,4,False
verde,La Mojonera,4.95,2,True
Raf,El Ejido,6.1,2,True
bola,Campohermoso,7.22,4,False
bola,Campohermoso,9.11,2,True
corazon de buey,La Mojonera,1.26,1,False
bola,Nijar,8.02,4,True
cherry,El Ejido,1.75,2,False
cherry,La Mojonera,2.95,1,True
corazon de buey,Nijar,4.64,3,True
kumato,Nijar,0.64,2,False
verde,Nijar,3.09,4,True
Raf,La Mojonera,7.11,2,True
bola,La Mojonera,7.08,1,True
bola,La Mojonera,3.03,1,False
 de pera,Nijar,8.16,3,True
kumato,El Alquian,1.08,1,False
corazon de buey,El Ejido,4.1,1,True
cherry,Campohermoso,4.4,1,True
kumato,La Mojonera,5.73,4,False
Raf,Nijar,0.59,4,False
bola,El Alquian,0.18,2,False
kumato,Campohermoso,5.0,4,True
bola,La Mojonera,3.83,4,False
Raf,La Mojonera,8.88,1,True
 de pera,La Mojonera,1.69,4,True
rosa,La Mojonera,6.45,1,False
bola,El Ejido,6.18,1,True
Raf,El Alquian,5.38,2,False
rosa,Nijar,1.28,2,False
verde,El Alquian,6.99,1,True
 de pera,Nijar,5.49,4,True
corazon de buey,El Alquian,5.02,1,False
Raf,La Mojonera,9.67,3,True
cherry,Campohermoso,1.54,2,True
cherry,Campohermoso,5.96,1,True
corazon de buey,El Ejido,8.93,4,True
bola,El Alquian,4.06,1,True
corazon de buey,La Mojonera,0.62,4,True
 de pera,El Ejido,5.39,3,False
cherry,Nijar,9.26,2,True
bola,Campohermoso,7.12,4,True
kumato,El Alquian,5.63,3,True
rosa,El Ejido,5.02,1,False
kumato,La Mojonera,1.42,1,True
rosa,Campohermoso,1.7,4,False
Raf,Campohermoso,7.85,1,True
verde,El Alquian,7.87,1,True
kumato,El Alquian,6.79,1,True
rosa,Nijar,3.8,1,True
Raf,La Mojonera,3.16,2,False
bola,La Mojonera,0.3,3,True
corazon de buey,Nijar,2.3,1,False
rosa,Campohermoso,9.25,2,False
 de pera,El Ejido,2.63,4,False
verde,El Ejido,2.78,2,False
cherry,El Ejido,6.18,3,False
 de pera,La Mojonera,1.15,4,False
bola,El Alquian,9.5,1,True
cherry,El Ejido,4.86,1,True
rosa,Nijar,7.85,3,False
cherry,El Ejido,5.29,3,False
kumato,Campohermoso,1.69,2,True
kumato,Nijar,9.12,2,False
Raf,El Ejido,3.93,3,False
rosa,Campohermoso,6.36,1,True
rosa,Nijar,2.57,4,True
kumato,Campohermoso,2.09,2,False
rosa,El Alquian,5.22,1,False
Raf,La Mojonera,7.95,3,False
corazon de buey,El Ejido,8.51,3,False
Raf,La Mojonera,3.8,1,False
corazon de buey,Nijar,6.3,2,True
corazon de buey,Nijar,7.97,2,True
Raf,Campohermoso,2.05,2,False
kumato,Nijar,7.43,2,True
 de pera,El Ejido,4.18,3,False
verde,El Ejido,3.2,1,False
verde,Nijar,5.41,4,False
Raf,Nijar,1.59,2,False
corazon de buey,Campohermoso,8.54,4,True
cherry,El Alquian,6.38,1,True
Raf,La Mojonera,3.47,3,False
Raf,Nijar,1.19,1,False
verde,El Alquian,3.13,2,True
rosa,Campohermoso,9.07,2,False
 de pera,El Ejido,7.94,2,False
Raf,La Mojonera,9.52,3,True
verde,La Mojonera,5.29,1,False
verde,El Alquian,3.87,2,False
 de pera,La Mojonera,8.64,4,False
 de pera,Nijar,7.14,1,False
rosa,Campohermoso,2.0,3,False
 de pera,El Alquian,0.57,4,False
cherry,Campohermoso,5.16,3,False
rosa,La Mojonera,7.98,3,True
corazon de buey,El Alquian,9.11,3,False
corazon de buey,Campohermoso,8.6,4,False
 de pera,La Mojonera,6.65,1,True
cherry,El Ejido,0.39,2,False
kumato,El Ejido,2.65,1,False
cherry,Campohermoso,6.44,4,False
corazon de buey,La Mojonera,2.34,3,False
verde,El Ejido,3.99,4,True
 de pera,Nijar,0.14,2,False
kumato,Nijar,7.49,4,True
verde,El Ejido,9.28,3,True
corazon de buey,Nijar,0.91,3,True
verde,El Ejido,3.24,2,False
verde,Nijar,8.1,2,True
rosa,Campohermoso,6.94,4,False
Raf,La Mojonera,4.2,1,False
bola,Nijar,3.25,3,True
 de pera,Nijar,5.26,2,False
corazon de buey,Nijar,0.28,3,True
Raf,Nijar,9.19,2,True
 de pera,Nijar,3.13,2,False
cherry,La Mojonera,9.55,1,False
Raf,La Mojonera,1.93,2,True
bola,El Alquian,7.12,3,True
corazon de buey,Campohermoso,1.27,4,True
rosa,El Alquian,5.27,4,False
verde,El Alquian,9.94,1,False
 de pera,Nijar,2.5,1,True
cherry,El Ejido,6.84,2,True
Raf,El Ejido,3.15,1,True
 de pera,La Mojonera,2.04,3,False
 de pera,Campohermoso,8.87,4,False
rosa,El Alquian,3.84,1,True
 de pera,La Mojonera,5.15,2,True
kumato,Nijar,3.51,4,False
corazon de buey,El Alquian,1.84,4,True
corazon de buey,El Ejido,3.69,2,True
bola,El Alquian,7.25,2,True
 de pera,Campohermoso,1.95,4,False
kumato,El Ejido,3.05,4,False
 de pera,El Ejido,0.32,2,True
corazon de buey,El Ejido,1.44,1,False
cherry,La Mojonera,7.31,2,False
verde,Campohermoso,7.95,1,True
verde,Nijar,7.12,2,True
 de pera,El Alquian,0.36,3,False
 de pera,El Alquian,9.62,4,True
bola,El Ejido,5.64,3,True
bola,Campohermoso,3.84,2,False
corazon de buey,Campohermoso,3.0,4,False
cherry,El Alquian,5.71,1,True
kumato,La Mojonera,3.87,1,True
cherry,El Alquian,8.1,1,False
corazon de buey,Nijar,9.86,2,True
verde,El Alquian,9.67,3,True
corazon de buey,Nijar,7.6,3,False
corazon de buey,La Mojonera,7.31,2,True
kumato,El Ejido,9.22,3,False
rosa,El Ejido,7.99,2,True
bola,El Ejido,8.34,1,True
 de pera,La Mojonera,3.1,1,True
cherry,La Mojonera,8.23,2,False
rosa,Nijar,5.39,1,True
kumato,La Mojonera,6.56,3,True
 de pera,La Mojonera,4.76,4,True
verde,El Ejido,2.3,3,False
cherry,El Alquian,0.54,4,True
cherry,El Ejido,4.56,3,True
rosa,Campohermoso,5.78,1,True
kumato,Nijar,7.84,4,False
rosa,El Alquian,9.88,4,True
bola,La Mojonera,8.94,3,False
kumato,Nijar,0.4,3,False
bola,Campohermoso,1.47,1,True
kumato,El Alquian,8.84,4,False
rosa,El Ejido,2.28,1,False
Raf,El Ejido,6.32,1,True
verde,La Mojonera,0.68,4,False
 de pera,La Mojonera,1.77,2,False
Raf,Nijar,7.96,2,False
rosa,La Mojonera,9.98,2,True
kumato,Nijar,7.76,2,True
bola,La Mojonera,4.83,3,False
bola,El Alquian,8.75,1,True
verde,La Mojonera,0.06,2,True
rosa,Nijar,4.74,4,False
corazon de buey,El Ejido,2.27,2,False
 de pera,La Mojonera,4.08,1,True
rosa,El Alquian,5.75,1,False
corazon de buey,La Mojonera,9.13,4,False
Raf,Campohermoso,7.57,2,True
corazon de buey,La Mojonera,3.53,1,True
cherry,El Alquian,8.72,2,True
bola,La Mojonera,4.26,2,True
kumato,El Alquian,9.09,2,True
cherry,Campohermoso,2.7,4,True
corazon de buey,El Ejido,3.81,2,True
Raf,El Ejido,1.18,2,False
Raf,Campohermoso,8.05,2,True
cherry,Nijar,3.32,4,False
corazon de buey,La Mojonera,6.3,3,True
Raf,Nijar,7.78,1,False
rosa,El Ejido,0.05,1,False
 de pera,El Alquian,0.26,1,True
cherry,El Ejido,8.86,4,True
Raf,Campohermoso,1.91,3,False
cherry,Nijar,9.98,1,True
verde,La Mojonera,3.26,2,True
bola,El Ejido,7.92,3,True
corazon de buey,El Alquian,3.88,4,True
 de pera,El Alquian,5.6,4,True
cherry,Nijar,8.87,1,True
kumato,El Alquian,3.54,1,False
 de pera,El Alquian,3.44,1,True
rosa,Nijar,9.12,4,False
Raf,El Ejido,2.15,2,True
verde,Nijar,7.59,3,False
kumato,Campohermoso,7.13,4,True
kumato,La Mojonera,9.46,2,True
cherry,La Mojonera,3.38,1,False
verde,El Ejido,7.72,3,True
Raf,Nijar,5.36,4,True
 de pera,La Mojonera,2.28,3,False
kumato,El Ejido,5.49,3,True
cherry,El Alquian,1.42,4,True
bola,El Ejido,8.53,3,False
bola,Campohermoso,3.72,1,True
verde,El Ejido,6.68,4,True
cherry,El Alquian,9.8,3,False
kumato,La Mojonera,5.99,1,True
rosa,Campohermoso,7.61,4,True
Raf,Campohermoso,9.23,2,False
kumato,El Alquian,0.99,4,False
corazon de buey,El Ejido,2.96,3,False
Raf,El Alquian,5.41,4,True
bola,Campohermoso,8.78,4,True
Raf,La Mojonera,1.61,4,False
bola,Nijar,0.04,1,True
cherry,El Ejido,7.35,3,True
corazon de buey,El Alquian,1.14,1,False
Raf,El Ejido,3.38,4,False
bola,Campohermoso,0.1,1,False
rosa,El Ejido,2.7,1,False
 de pera,Campohermoso,6.05,3,False
rosa,Campohermoso,1.34,3,False
bola,El Alquian,2.0,4,False
Raf,La Mojonera,0.1,2,False
corazon de buey,El Alquian,1.0,4,True
cherry,La Mojonera,7.57,4,True
corazon de buey,Campohermoso,8.52,1,False
Raf,El Ejido,2.87,4,True
rosa,Nijar,4.54,4,True
 de pera,El Ejido,2.43,1,True
kumato,Nijar,3.35,4,False
bola,La Mojonera,0.73,1,False
Raf,Campohermoso,0.12,1,False
kumato,Nijar,8.87,1,True
corazon de buey,Campohermoso,2.8,1,True
Raf,Campohermoso,8.41,1,True
rosa,El Ejido,3.04,4,False
corazon de buey,El Ejido,8.08,3,False
cherry,Campohermoso,8.27,4,True
kumato,Campohermoso,3.21,4,True
cherry,La Mojonera,2.39,4,False
Raf,Nijar,5.26,4,False
bola,Campohermoso,5.68,2,False
verde,Campohermoso,1.13,4,True
cherry,El Ejido,0.99,2,True
verde,Campohermoso,3.01,2,True
rosa,El Ejido,9.3,3,False
cherry,Nijar,6.67,2,True
bola,El Alquian,3.6,4,True
verde,El Ejido,8.82,2,False
 de pera,El Ejido,8.85,1,False
verde,El Ejido,6.29,1,True
rosa,Nijar,6.43,4,False
cherry,Nijar,7.98,3,False
Raf,La Mojonera,9.87,1,False
kumato,Nijar,6.28,1,False
verde,La Mojonera,1.54,2,False
 de pera,El Alquian,7.13,2,True
cherry,La Mojonera,9.34,4,True
kumato,La Mojonera,1.02,2,True
kumato,El Alquian,3.21,1,False
 de pera,La Mojonera,6.99,4,False
bola,El Alquian,7.35,3,True
corazon de buey,La Mojonera,8.58,4,False
verde,Campohermoso,4.27,2,True
rosa,El Alquian,6.14,1,True
kumato,Nijar,8.76,1,True
 de pera,Campohermoso,5.25,4,False
Raf,El Alquian,9.08,1,True
bola,El Ejido,8.68,3,False
kumato,Campohermoso,6.97,1,False
cherry,El Alquian,1.11,3,True
rosa,La Mojonera,2.0,1,True
 de pera,El Ejido,8.37,2,True
rosa,Nijar,6.29,1,True
 de pera,Nijar,1.56,3,False
 de pera,El Ejido,1.58,1,True
Raf,El Ejido,6.19,1,False
 de pera,El Ejido,3.14,3,False
rosa,Nijar,4.11,2,False
bola,Campohermoso,0.43,3,True
corazon de buey,El Ejido,1.74,3,True
cherry,Campohermoso,4.02,2,False
kumato,Nijar,1.82,1,True
cherry,El Ejido,7.22,2,False
cherry,El Ejido,7.77,4,False
Raf,Nijar,5.64,2,True
 de pera,Campohermoso,0.55,2,True
corazon de buey,El Ejido,1.24,2,False
corazon de buey,Nijar,1.27,3,True
cherry,El Alquian,0.91,2,True
bola,La Mojonera,0.91,3,False
verde,El Ejido,0.81,2,False
corazon de buey,El Ejido,5.81,1,True
kumato,Nijar,1.33,3,True
rosa,Nijar,7.67,1,True
rosa,La Mojonera,8.54,1,True
rosa,Campohermoso,6.8,1,True
verde,Campohermoso,1.77,4,False
rosa,El Ejido,9.64,4,True
cherry,Nijar,8.09,3,True
Raf,Campohermoso,6.55,3,True
kumato,El Alquian,2.89,1,False
Raf,Nijar,4.17,4,False
Raf,El Alquian,1.6,3,False
kumato,El Alquian,4.56,1,False
bola,Campohermoso,6.43,2,True
 de pera,La Mojonera,1.68,4,False
cherry,La Mojonera,4.33,2,False
bola,Nijar,4.14,3,True
 de pera,El Alquian,1.71,1,False
rosa,El Ejido,7.45,1,True
cherry,La Mojonera,9.94,4,False
corazon de buey,El Ejido,9.0,4,False
rosa,El Alquian,9.8,2,False
cherry,Nijar,6.53,4,True
rosa,Nijar,9.72,3,False
cherry,El Ejido,3.21,3,True
Raf,Nijar,7.18,2,False
 de pera,El Alquian,6.77,4,True
kumato,Campohermoso,6.68,1,False
Raf,El Alquian,0.73,3,False
rosa,Campohermoso,6.0,2,True
cherry,La Mojonera,4.6,4,True
 de pera,El Alquian,2.13,3,True
bola,La Mojonera,0.56,1,True
kumato,El Ejido,6.06,1,True
kumato,El Ejido,1.61,2,True
cherry,El Ejido,2.37,3,False
 de pera,La Mojonera,3.99,1,True
corazon de buey,Nijar,4.51,3,True
 de pera,Nijar,4.03,1,True
cherry,Campohermoso,2.66,3,True
 de pera,El Ejido,9.44,2,False
corazon de buey,Nijar,1.51,1,True
cherry,Campohermoso,1.24,1,True
 de pera,El Alquian,3.78,1,False
cherry,El Alquian,1.56,3,True
corazon de buey,El Alquian,2.59,3,True
rosa,El Alquian,5.69,1,True
kumato,La Mojonera,4.56,3,False
cherry,La Mojonera,4.27,4,True
Raf,Nijar,6.13,3,False
corazon de buey,Nijar,8.14,2,True
kumato,El Ejido,5.27,3,False
bola,Campohermoso,0.02,3,True
verde,El Alquian,1.04,3,True
Raf,Campohermoso,3.7,3,True
 de pera,El Ejido,0.96,4,False
verde,El Ejido,5.34,1,True
Raf,El Ejido,7.03,3,True
Raf,El Ejido,6.85,2,True
corazon de buey,El Ejido,8.28,2,False
Raf,La Mojonera,5.58,1,True
kumato,El Alquian,9.11,3,True
cherry,El Ejido,7.24,4,False
Raf,Nijar,0.89,4,True
corazon de buey,El Alquian,8.2,4,False
rosa,Campohermoso,8.37,1,True
 de pera,El Ejido,3.31,2,False
corazon de buey,La Mojonera,1.87,4,False
kumato,Campohermoso,5.45,1,True
verde,Nijar,5.38,2,True
Raf,Campohermoso,8.79,4,False
rosa,El Alquian,1.82,4,False
verde,Campohermoso,2.35,4,True
 de pera,El Alquian,4.29,1,False
kumato,El Ejido,3.22,3,False
corazon de buey,Nijar,6.22,1,True
 de pera,La Mojonera,3.32,2,False
kumato,El Ejido,2.54,3,False
Raf,La Mojonera,9.11,3,False
bola,Campohermoso,9.45,2,False
verde,La Mojonera,5.89,4,False
verde,La Mojonera,6.95,2,True
Raf,El Alquian,8.46,3,True
 de pera,Campohermoso,2.3,2,False
corazon de buey,El Ejido,7.36,3,False
rosa,El Alquian,7.24,4,True
verde,La Mojonera,0.28,1,True
cherry,El Ejido,3.4,3,False
cherry,La Mojonera,6.24,3,True
rosa,El Ejido,2.63,1,False
rosa,La Mojonera,7.76,2,False
cherry,Campohermoso,2.99,4,True
kumato,El Ejido,4.32,2,False
rosa,Nijar,0.05,2,True
kumato,La Mojonera,2.06,3,False
Raf,La Mojonera,9.45,3,False
rosa,La Mojonera,2.5,4,False
Raf,Campohermoso,8.0,2,True
Raf,El Ejido,8.21,2,True
bola,La Mojonera,1.04,2,True
Raf,El Alquian,2.5,4,False
corazon de buey,Campohermoso,1.22,1,True
bola,Nijar,7.77,4,True
 de pera,Campohermoso,2.11,2,True
kumato,La Mojonera,0.5,1,True
 de pera,La Mojonera,6.91,3,False
kumato,Nijar,6.02,4,False
kumato,La Mojonera,2.15,4,False
 de pera,Nijar,3.35,3,True
bola,El Alquian,4.49,2,True
Raf,Campohermoso,1.02,2,True
corazon de buey,Nijar,8.26,1,True
Raf,Nijar,4.57,4,True
rosa,El Alquian,2.26,1,True
corazon de buey,El Alquian,4.89,1,False
verde,El Alquian,2.54,1,False
rosa,Campohermoso,7.65,3,True
verde,Campohermoso,9.32,4,True
cherry,El Alquian,4.16,2,True
kumato,El Ejido,3.31,4,False
corazon de buey,Nijar,2.14,2,True
kumato,El Ejido,9.52,3,True
Raf,La Mojonera,7.31,3,False
corazon de buey,La Mojonera,2.34,3,True
bola,El Ejido,5.49,4,True
 de pera,El Ejido,0.04,2,True
rosa,Campohermoso,8.7,2,True
corazon de buey,El Alquian,4.09,4,False
 de pera,La Mojonera,3.41,2,True
kumato,El Alquian,6.29,4,False
Raf,El Ejido,2.78,2,True
 de pera,La Mojonera,5.6,2,False
kumato,Nijar,2.3,2,False
cherry,La Mojonera,8.53,1,True
rosa,El Alquian,4.24,2,False
cherry,Campohermoso,7.67,2,True
cherry,Nijar,6.48,4,False
verde,Nijar,3.01,1,True
Raf,Campohermoso,5.77,4,False
cherry,Campohermoso,9.69,3,False
 de pera,La Mojonera,7.46,4,True
rosa,Nijar,0.54,4,True
verde,El Alquian,0.34,3,True
 de pera,Nijar,5.87,3,False
 de pera,El Ejido,0.39,3,False
cherry,El Ejido,0.89,3,True
Raf,Campohermoso,6.99,4,False
kumato,Campohermoso,5.84,1,True
 de pera,Nijar,8.98,1,False
bola,El Ejido,8.4,1,True
kumato,La Mojonera,4.1,2,False
verde,El Ejido,0.61,3,True
rosa,Nijar,3.72,4,True
rosa,Nijar,0.09,2,False
rosa,La Mojonera,8.12,2,False
rosa,La Mojonera,0.47,3,False
verde,El Ejido,2.82,4,False
 de pera,Campohermoso,3.09,1,False
bola,Campohermoso,5.1,4,True
bola,El Ejido,4.69,2,False
rosa,El Alquian,1.83,3,False
kumato,Nijar,3.48,2,False
bola,Campohermoso,4.59,3,True
kumato,Nijar,7.38,4,True
bola,El Alquian,5.55,1,True
 de pera,La Mojonera,8.67,3,False
corazon de buey,La Mojonera,1.55,1,False
 de pera,Nijar,0.8,2,False
verde,El Alquian,8.25,1,False
rosa,Campohermoso,6.67,3,True
kumato,Campohermoso,3.5,3,True
rosa,La Mojonera,4.1,1,True
kumato,Nijar,5.76,2,True
 de pera,La Mojonera,1.94,1,True
cherry,El Ejido,7.8,1,True
bola,Campohermoso,4.64,2,True
verde,Campohermoso,4.61,4,True
rosa,Campohermoso,2.76,1,False
kumato,Nijar,1.97,2,False
Raf,El Alquian,9.9,1,False
 de pera,La Mojonera,3.58,3,False
Raf,Nijar,3.03,3,True
bola,Campohermoso,7.68,2,True
verde,Nijar,7.95,3,True
rosa,La Mojonera,9.04,4,True
rosa,El Alquian,4.91,2,True
verde,El Alquian,5.29,3,False
Raf,Nijar,3.71,1,True
rosa,Nijar,1.63,1,True
kumato,La Mojonera,0.91,2,True
verde,Campohermoso,4.01,3,False
rosa,Nijar,0.25,2,True
 de pera,Campohermoso,6.87,4,True
verde,Nijar,6.96,3,True
verde,La Mojonera,9.26,4,False
verde,Nijar,5.31,1,False
 de pera,El Alquian,7.28,1,True
verde,Campohermoso,8.57,3,False
Raf,La Mojonera,0.71,4,True
 de pera,El Ejido,2.78,2,False
corazon de buey,El Ejido,7.13,1,True
bola,El Ejido,5.36,4,True
rosa,Nijar,5.58,2,True
rosa,Campohermoso,3.8,2,True
kumato,El Alquian,5.67,2,True
bola,El Ejido,2.73,2,False
corazon de buey,La Mojonera,8.74,3,True
 de pera,El Alquian,3.95,2,True
Raf,El Ejido,7.99,1,False
corazon de buey,El Ejido,6.31,3,False
verde,El Ejido,3.59,1,False
bola,Campohermoso,6.65,3,False
bola,La Mojonera,6.62,3,True
Raf,El Ejido,7.36,3,True
Raf,La Mojonera,4.69,2,True
cherry,Campohermoso,9.83,4,False
kumato,La Mojonera,1.35,4,True
rosa,Nijar,5.85,1,False
cherry,Nijar,1.03,3,True
 de pera,La Mojonera,0.2,1,True
corazon de buey,El Ejido,5.77,3,True
bola,Nijar,1.95,1,False
cherry,Nijar,2.96,2,False
cherry,Campohermoso,7.66,1,True
 de pera,El Alquian,8.31,3,True
cherry,El Alquian,9.46,2,False
 de pera,El Ejido,4.58,1,False
bola,La Mojonera,8.09,2,True
cherry,Campohermoso,4.35,4,True
Raf,Campohermoso,5.14,1,True
bola,La Mojonera,3.06,4,True
cherry,La Mojonera,1.93,3,False
rosa,El Ejido,3.28,3,False
cherry,Campohermoso,2.24,3,False
verde,Nijar,1.88,2,True
Raf,El Ejido,2.6,1,True
verde,La Mojonera,0.19,3,False
rosa,El Ejido,0.79,2,True
Raf,Campohermoso,6.26,3,False
cherry,El Ejido,3.32,3,False
verde,Campohermoso,4.54,3,False
 de pera,Campohermoso,6.48,2,False
corazon de buey,El Ejido,2.65,4,True
rosa,El Alquian,2.22,4,False
Raf,La Mojonera,3.06,3,False
verde,El Alquian,2.88,1,False
kumato,Campohermoso,3.56,4,True
verde,El Ejido,4.95,3,True
 de pera,El Ejido,1.58,3,True
 de pera,Nijar,1.19,2,False
verde,La Mojonera,2.11,3,False
corazon de buey,Nijar,8.37,4,True
 de pera,La Mojonera,0.78,3,True
Raf,El Alquian,5.6,2,False
corazon de buey,La Mojonera,6.96,2,False
cherry,El Alquian,0.22,4,True
cherry,Nijar,5.49,3,False
 de pera,Nijar,0.1,3,False
bola,La Mojonera,4.52,2,True
verde,El Alquian,3.26,1,False
 de pera,El Ejido,5.68,4,True
bola,El Ejido,0.31,3,True
rosa,El Ejido,3.06,3,True
corazon de buey,Campohermoso,8.76,3,False
Raf,El Alquian,2.39,2,True
cherry,La Mojonera,6.69,1,False
corazon de buey,El Ejido,4.11,2,False
rosa,El Ejido,4.55,1,True
verde,Nijar,0.66,4,True
rosa,Campohermoso,3.4,2,False
Raf,Campohermoso,7.22,3,True
bola,El Alquian,6.32,4,False
kumato,El Ejido,8.78,2,True
kumato,El Ejido,4.39,4,True
corazon de buey,Nijar,5.0,3,False
Raf,El Ejido,8.56,4,True
kumato,El Ejido,1.95,1,True
 de pera,Nijar,1.7,3,False
rosa,El Alquian,4.29,2,False
bola,El Alquian,5.88,1,True
verde,El Alquian,8.73,2,True
rosa,Campohermoso,6.46,4,False
bola,Campohermoso,3.58,1,True
kumato,Nijar,5.43,4,False
rosa,Campohermoso,0.69,4,False
corazon de buey,Campohermoso,4.77,4,True
Raf,Nijar,2.34,2,True
bola,Campohermoso,7.87,2,True
verde,Nijar,6.56,3,True
rosa,El Alquian,4.8,1,True
rosa,La Mojonera,9.43,4,False
corazon de buey,Campohermoso,9.7,2,True
Raf,Campohermoso,3.57,1,False
rosa,La Mojonera,3.87,3,False
 de pera,El Alquian,9.76,3,True
corazon de buey,Nijar,7.57,4,True
cherry,Campohermoso,7.26,3,True
rosa,Campohermoso,9.7,2,False
verde,La Mojonera,6.33,3,True
Raf,El Alquian,5.41,4,False
kumato,Campohermoso,7.42,1,False
kumato,El Alquian,0.16,4,True
verde,El Alquian,5.02,3,True
verde,Nijar,1.37,4,True
Raf,El Alquian,1.2,1,False
verde,Nijar,9.22,3,False
bola,El Ejido,5.42,3,False
verde,Campohermoso,4.24,3,True
Raf,Nijar,2.17,2,False
bola,La Mojonera,1.45,3,True
corazon de buey,El Ejido,8.6,3,False
kumato,Campohermoso,2.07,4,True
Raf,Campohermoso,3.54,2,False
cherry,El Ejido,0.73,1,True
verde,Campohermoso,8.57,4,False
kumato,El Ejido,8.01,4,False
kumato,El Ejido,8.26,2,True
kumato,La Mojonera,1.22,1,False
 de pera,Campohermoso,0.37,3,True
kumato,El Alquian,4.95,3,True
kumato,Campohermoso,7.11,3,True
kumato,Nijar,8.64,2,True
cherry,El Ejido,4.94,1,True
cherry,El Alquian,1.44,4,True
cherry,Campohermoso,7.42,4,False
corazon de buey,La Mojonera,1.31,2,True
rosa,Nijar,9.41,2,False
cherry,El Alquian,6.47,2,False
bola,El Alquian,9.16,1,False
 de pera,Nijar,8.24,1,False
kumato,Nijar,7.06,3,False
bola,El Alquian,9.42,3,True
rosa,El Ejido,4.25,4,False
corazon de buey,La Mojonera,0.54,4,False
cherry,La Mojonera,5.01,3,False
Raf,Nijar,7.16,4,False
cherry,El Alquian,6.26,1,True
verde,La Mojonera,4.05,4,True
rosa,Campohermoso,2.2,1,True
kumato,El Alquian,4.68,3,False
verde,Campohermoso,3.63,4,True
cherry,La Mojonera,2.44,2,True
rosa,El Alquian,9.87,1,False
cherry,Nijar,4.07,4,True
bola,La Mojonera,5.62,3,False
rosa,La Mojonera,8.36,2,True
bola,El Ejido,2.18,3,True
verde,La Mojonera,0.08,3,True
corazon de buey,Nijar,4.16,4,True
Raf,Campohermoso,5.6,1,True
kumato,Nijar,1.34,4,False
kumato,El Ejido,8.54,1,True
 de pera,El Alquian,4.06,1,True
verde,Nijar,5.77,2,False
 de pera,Nijar,8.3,4,False
Raf,Nijar,0.36,3,False
kumato,El Alquian,2.82,1,True
rosa,Campohermoso,5.23,2,True
rosa,Campohermoso,6.0,4,True
 de pera,El Alquian,2.7,1,False
verde,Nijar,8.39,3,True
cherry,El Alquian,0.98,1,True
verde,El Alquian,3.03,2,False
cherry,Nijar,6.02,1,True
verde,Campohermoso,8.93,2,False
bola,Nijar,7.26,4,True
verde,Campohermoso,0.14,2,False
bola,Campohermoso,4.94,3,False
rosa,El Alquian,2.7,1,True
cherry,La Mojonera,6.46,2,True
verde,El Ejido,2.2,3,True
corazon de buey,La Mojonera,5.26,3,True
cherry,El Alquian,1.77,3,False
rosa,Nijar,4.28,3,False
 de pera,El Alquian,0.94,4,True
rosa,Campohermoso,3.02,1,True
rosa,Nijar,2.12,1,False
 de pera,La Mojonera,1.48,3,False
Raf,Nijar,7.56,3,False
cherry,Nijar,1.47,3,False
corazon de buey,El Ejido,3.48,1,True
kumato,La Mojonera,2.52,3,False
corazon de buey,El Ejido,4.06,4,False
rosa,El Alquian,1.13,1,False
rosa,La Mojonera,2.01,1,True
Raf,La Mojonera,3.31,1,False
kumato,El Alquian,3.67,2,True
 de pera,Nijar,0.4,1,False
kumato,Nijar,0.23,3,False
kumato,Campohermoso,4.04,1,False
rosa,Campohermoso,7.17,4,False
 de pera,El Ejido,2.63,3,True
 de pera,Campohermoso,0.13,2,False
corazon de buey,El Ejido,6.38,2,True
kumato,La Mojonera,6.89,3,True
rosa,La Mojonera,0.91,1,True
verde,El Alquian,9.65,3,False
kumato,La Mojonera,9.77,2,True
cherry,Nijar,1.65,1,True
kumato,El Ejido,0.8,4,True
Raf,El Ejido,8.33,2,True
 de pera,El Ejido,6.32,2,True
bola,Campohermoso,7.81,4,True
kumato,Campohermoso,1.51,1,False
cherry,Nijar,4.06,1,False
kumato,El Alquian,0.46,4,True
cherry,Nijar,3.88,2,True
rosa,El Ejido,9.0,4,True
bola,La Mojonera,0.83,2,True
cherry,Campohermoso,6.87,2,True
bola,Nijar,0.13,4,True
cherry,El Ejido,5.65,4,False
 de pera,La Mojonera,8.94,2,True
corazon de buey,El Alquian,0.58,3,False
Raf,Nijar,3.6,3,False
Raf,La Mojonera,1.46,2,True
 de pera,La Mojonera,5.49,4,False
verde,Nijar,4.69,1,False
kumato,Nijar,7.31,2,False
cherry,El Alquian,6.33,3,False
verde,El Ejido,0.36,1,False
verde,Nijar,3.4,4,True
cherry,Nijar,9.02,4,True
kumato,El Ejido,6.16,3,False
rosa,El Alquian,9.61,4,True
kumato,La Mojonera,4.71,3,True
rosa,Campohermoso,9.26,1,True
corazon de buey,La Mojonera,7.79,2,True
rosa,El Alquian,5.18,2,True
verde,Campohermoso,1.56,2,False
rosa,El Alquian,5.17,2,True
verde,Campohermoso,4.24,4,False
bola,Campohermoso,1.51,3,True
 de pera,El Ejido,8.83,3,False
bola,Campohermoso,4.3,4,False
corazon de buey,El Alquian,3.78,2,False
cherry,La Mojonera,5.74,3,False
bola,La Mojonera,7.8,3,True
Raf,Nijar,8.09,1,False
bola,Campohermoso,8.64,2,False
rosa,El Alquian,5.47,3,True
cherry,El Ejido,1.68,3,False
rosa,Campohermoso,3.57,1,True
