Cultivo,Ubicación,Tamaño,Rendimiento,Fertilizantes
cacao,Valencia,Grande,4.5,True
cacao,Granada,Mediana,7.34,False
banano,Granada,Mediana,6.3,False
trigo,Canarias,Pequeña,6.5,False
banano,Valencia,Pequeña,9.46,True
arroz,Granada,Pequeña,7.7,False
arroz,Murcia,Pequeña,8.36,True
maíz,Granada,Pequeña,9.75,True
arroz,Murcia,Pequeña,5.45,True
café,Granada,Mediana,8.21,False
café,Granada,Grande,2.6,True
café,Granada,Mediana,3.13,True
trigo,Granada,Pequeña,3.13,False
trigo,Granada,Pequeña,5.51,False
cacao,Almeria,Pequeña,2.79,True
cacao,Almeria,Grande,7.53,True
trigo,Murcia,Mediana,1.06,False
café,Almeria,Pequeña,8.88,True
arroz,Murcia,Mediana,1.41,True
banano,Almeria,Pequeña,2.23,False
maíz,Granada,Mediana,3.4,True
café,Almeria,Pequeña,5.92,True
café,Canarias,Pequeña,3.94,True
maíz,Murcia,Pequeña,9.43,False
trigo,Granada,Grande,7.4,True
arroz,Granada,Pequeña,4.37,False
maíz,Murcia,Grande,5.15,False
café,Granada,Mediana,8.77,True
maíz,Canarias,Mediana,8.42,False
café,Canarias,Mediana,8.36,False
cacao,Canarias,Mediana,6.7,True
café,Granada,Mediana,4.46,True
café,Murcia,Grande,2.92,True
arroz,Murcia,Mediana,4.03,True
banano,Canarias,Grande,3.64,False
trigo,Granada,Mediana,4.8,False
arroz,Murcia,Mediana,9.61,False
café,Murcia,Mediana,5.6,True
trigo,Canarias,Grande,4.74,False
café,Valencia,Mediana,2.02,False
maíz,Murcia,Pequeña,1.87,True
trigo,Canarias,Grande,6.92,False
cacao,Murcia,Pequeña,2.37,False
maíz,Valencia,Pequeña,5.98,False
arroz,Murcia,Grande,9.77,True
banano,Canarias,Mediana,7.94,True
café,Almeria,Grande,6.39,False
café,Murcia,Pequeña,3.86,False
maíz,Murcia,Grande,7.93,False
arroz,Murcia,Mediana,2.09,False
arroz,Canarias,Mediana,2.2,False
arroz,Almeria,Pequeña,4.2,False
maíz,Murcia,Mediana,3.92,False
banano,Murcia,Mediana,9.19,False
arroz,Granada,Grande,2.65,False
arroz,Canarias,Grande,9.47,True
cacao,Almeria,Pequeña,4.03,True
maíz,Valencia,Grande,6.75,False
café,Murcia,Mediana,9.97,False
trigo,Almeria,Pequeña,4.59,False
banano,Canarias,Mediana,3.72,False
cacao,Almeria,Mediana,7.18,False
cacao,Murcia,Grande,5.05,False
café,Valencia,Mediana,9.25,True
cacao,Granada,Pequeña,4.79,True
banano,Canarias,Grande,3.39,False
arroz,Granada,Mediana,5.62,False
arroz,Valencia,Pequeña,8.82,True
maíz,Almeria,Grande,1.12,False
banano,Granada,Grande,8.21,True
banano,Murcia,Grande,9.04,True
arroz,Murcia,Mediana,4.06,True
trigo,Canarias,Pequeña,4.47,False
trigo,Valencia,Pequeña,1.51,False
trigo,Canarias,Mediana,8.2,True
trigo,Almeria,Mediana,1.44,False
arroz,Murcia,Pequeña,9.84,True
maíz,Granada,Grande,5.85,True
banano,Canarias,Grande,8.4,False
trigo,Canarias,Mediana,7.14,True
banano,Murcia,Mediana,7.12,False
café,Valencia,Grande,6.91,True
trigo,Granada,Grande,1.02,False
maíz,Canarias,Grande,3.37,False
trigo,Granada,Pequeña,5.57,True
café,Canarias,Pequeña,4.68,True
arroz,Almeria,Mediana,5.72,True
maíz,Granada,Pequeña,9.6,True
cacao,Almeria,Pequeña,2.93,True
cacao,Almeria,Grande,6.02,True
banano,Canarias,Pequeña,5.82,True
arroz,Canarias,Pequeña,8.9,False
trigo,Canarias,Pequeña,6.43,False
maíz,Murcia,Mediana,5.62,False
trigo,Valencia,Mediana,4.76,False
cacao,Granada,Grande,9.81,True
banano,Valencia,Grande,4.39,True
arroz,Valencia,Grande,1.51,False
cacao,Canarias,Pequeña,5.93,False
cacao,Almeria,Pequeña,5.09,True
arroz,Valencia,Pequeña,1.14,False
cacao,Canarias,Grande,4.17,True
trigo,Granada,Pequeña,3.89,False
arroz,Murcia,Pequeña,4.59,False
trigo,Granada,Pequeña,9.87,False
café,Murcia,Grande,6.85,True
trigo,Murcia,Pequeña,9.65,False
maíz,Almeria,Mediana,9.03,False
arroz,Murcia,Mediana,7.04,True
trigo,Granada,Mediana,1.3,True
cacao,Almeria,Grande,3.98,True
café,Almeria,Pequeña,2.71,True
café,Valencia,Grande,5.2,False
arroz,Granada,Grande,1.16,True
trigo,Almeria,Mediana,5.44,False
café,Murcia,Mediana,4.0,False
banano,Murcia,Pequeña,1.84,False
maíz,Valencia,Mediana,2.83,True
arroz,Almeria,Grande,7.7,True
arroz,Canarias,Mediana,7.54,False
café,Valencia,Pequeña,4.17,True
arroz,Valencia,Grande,2.97,False
café,Murcia,Pequeña,8.92,True
arroz,Canarias,Grande,1.8,False
café,Almeria,Grande,6.69,True
maíz,Canarias,Grande,7.1,False
maíz,Murcia,Pequeña,9.5,True
trigo,Valencia,Pequeña,3.75,False
arroz,Almeria,Pequeña,6.01,False
arroz,Canarias,Pequeña,6.23,True
banano,Granada,Mediana,3.85,True
cacao,Granada,Pequeña,7.75,True
trigo,Canarias,Pequeña,5.3,True
maíz,Canarias,Mediana,1.05,True
café,Murcia,Pequeña,8.18,True
arroz,Almeria,Grande,4.5,False
banano,Granada,Pequeña,4.56,False
banano,Almeria,Grande,9.48,True
cacao,Valencia,Mediana,4.16,True
café,Canarias,Mediana,6.72,True
maíz,Almeria,Mediana,9.56,True
arroz,Murcia,Grande,4.72,False
cacao,Almeria,Mediana,3.67,False
maíz,Granada,Grande,9.91,False
maíz,Canarias,Mediana,6.95,False
maíz,Canarias,Mediana,7.31,True
maíz,Canarias,Mediana,2.19,True
trigo,Valencia,Mediana,1.96,False
café,Canarias,Mediana,8.47,True
maíz,Murcia,Pequeña,4.23,True
café,Granada,Mediana,5.5,True
banano,Canarias,Grande,6.02,False
cacao,Valencia,Mediana,8.67,False
trigo,Murcia,Grande,7.6,True
maíz,Murcia,Mediana,9.63,True
maíz,Murcia,Grande,4.72,False
trigo,Almeria,Mediana,4.66,True
trigo,Granada,Mediana,1.27,True
trigo,Almeria,Mediana,3.28,True
café,Granada,Grande,1.85,False
banano,Canarias,Pequeña,2.87,True
café,Canarias,Pequeña,6.49,True
banano,Murcia,Mediana,4.58,True
cacao,Almeria,Grande,1.14,False
banano,Granada,Grande,5.19,True
maíz,Canarias,Pequeña,6.62,False
banano,Almeria,Pequeña,7.51,True
arroz,Valencia,Pequeña,3.92,False
café,Canarias,Pequeña,3.67,True
cacao,Almeria,Grande,2.11,True
trigo,Canarias,Mediana,3.43,True
trigo,Canarias,Mediana,9.28,False
trigo,Murcia,Mediana,4.8,True
maíz,Almeria,Mediana,9.08,False
arroz,Almeria,Pequeña,7.63,False
arroz,Canarias,Grande,3.13,False
maíz,Canarias,Mediana,1.06,False
banano,Valencia,Pequeña,3.02,False
cacao,Canarias,Grande,4.62,False
trigo,Valencia,Grande,9.51,False
cacao,Almeria,Pequeña,1.84,False
maíz,Granada,Pequeña,5.88,False
banano,Valencia,Mediana,8.19,False
banano,Valencia,Mediana,9.28,True
arroz,Murcia,Grande,8.37,True
trigo,Murcia,Grande,4.51,False
arroz,Almeria,Mediana,6.85,False
trigo,Valencia,Mediana,7.91,True
trigo,Murcia,Grande,9.28,False
maíz,Valencia,Pequeña,7.56,True
cacao,Valencia,Mediana,5.3,True
café,Canarias,Pequeña,8.15,False
banano,Almeria,Mediana,2.36,False
trigo,Canarias,Pequeña,7.56,False
trigo,Valencia,Grande,8.58,True
trigo,Murcia,Pequeña,8.77,True
maíz,Almeria,Grande,1.97,True
cacao,Murcia,Grande,4.98,False
café,Valencia,Pequeña,6.88,True
maíz,Murcia,Pequeña,2.84,True
banano,Granada,Pequeña,2.67,True
café,Almeria,Mediana,7.69,True
banano,Canarias,Grande,4.32,True
maíz,Granada,Grande,1.77,False
trigo,Murcia,Grande,2.24,False
arroz,Murcia,Grande,6.72,False
trigo,Granada,Grande,1.51,True
maíz,Valencia,Mediana,9.28,False
trigo,Canarias,Pequeña,5.68,False
maíz,Almeria,Pequeña,2.93,True
trigo,Canarias,Mediana,1.78,False
trigo,Canarias,Mediana,4.4,False
maíz,Granada,Grande,5.97,False
arroz,Valencia,Mediana,7.55,False
trigo,Almeria,Mediana,6.41,False
trigo,Murcia,Mediana,6.78,False
cacao,Canarias,Pequeña,4.39,False
café,Canarias,Grande,1.09,True
trigo,Granada,Grande,1.4,False
cacao,Granada,Grande,5.9,True
café,Almeria,Mediana,6.29,False
trigo,Almeria,Grande,8.14,False
arroz,Valencia,Pequeña,2.19,True
café,Canarias,Mediana,7.67,False
cacao,Murcia,Pequeña,5.47,True
trigo,Canarias,Grande,3.69,True
maíz,Murcia,Mediana,6.14,True
maíz,Canarias,Pequeña,1.5,True
café,Almeria,Pequeña,7.33,True
cacao,Murcia,Pequeña,9.45,True
café,Granada,Pequeña,4.98,False
maíz,Granada,Mediana,5.11,False
cacao,Almeria,Mediana,3.63,True
cacao,Almeria,Mediana,4.93,True
arroz,Granada,Mediana,7.99,True
banano,Valencia,Grande,4.54,False
trigo,Canarias,Pequeña,9.34,False
cacao,Almeria,Pequeña,8.49,True
trigo,Granada,Pequeña,4.12,True
arroz,Valencia,Mediana,7.92,False
cacao,Murcia,Pequeña,4.74,False
cacao,Canarias,Pequeña,3.34,True
banano,Valencia,Pequeña,7.57,True
arroz,Granada,Pequeña,2.6,False
maíz,Granada,Grande,3.38,True
maíz,Murcia,Grande,4.18,False
café,Valencia,Mediana,2.27,True
banano,Granada,Grande,8.34,True
cacao,Granada,Mediana,3.33,True
trigo,Granada,Mediana,4.42,False
café,Granada,Pequeña,2.73,False
café,Almeria,Pequeña,1.13,True
café,Almeria,Pequeña,9.58,False
café,Murcia,Pequeña,1.32,True
café,Almeria,Grande,3.73,True
banano,Almeria,Grande,5.64,False
café,Valencia,Grande,5.73,False
trigo,Murcia,Pequeña,4.56,True
cacao,Canarias,Grande,2.49,True
trigo,Canarias,Grande,9.63,False
trigo,Valencia,Mediana,5.25,True
arroz,Canarias,Pequeña,7.84,False
arroz,Almeria,Grande,5.88,False
café,Valencia,Grande,6.71,True
café,Granada,Pequeña,6.81,False
arroz,Canarias,Pequeña,3.98,False
arroz,Almeria,Pequeña,7.64,True
arroz,Almeria,Grande,2.83,False
banano,Canarias,Pequeña,3.82,True
cacao,Canarias,Grande,9.42,True
cacao,Granada,Pequeña,7.95,True
maíz,Valencia,Grande,6.0,False
banano,Almeria,Mediana,6.68,True
cacao,Canarias,Grande,5.5,True
banano,Almeria,Mediana,2.26,True
banano,Almeria,Pequeña,5.5,False
arroz,Almeria,Grande,6.96,True
café,Valencia,Mediana,8.36,False
trigo,Granada,Grande,2.78,True
trigo,Canarias,Mediana,2.41,True
banano,Canarias,Mediana,7.6,True
cacao,Granada,Mediana,1.82,True
café,Granada,Mediana,8.6,True
café,Granada,Pequeña,6.09,True
arroz,Murcia,Grande,7.19,False
maíz,Valencia,Mediana,5.81,True
maíz,Canarias,Mediana,7.93,False
arroz,Murcia,Grande,4.05,True
cacao,Granada,Grande,9.66,False
café,Granada,Grande,7.9,True
cacao,Granada,Grande,5.68,True
arroz,Canarias,Mediana,7.68,False
cacao,Murcia,Pequeña,9.41,True
café,Murcia,Grande,4.0,True
café,Canarias,Grande,4.74,False
maíz,Granada,Mediana,5.43,True
maíz,Almeria,Mediana,3.94,False
maíz,Granada,Pequeña,6.94,True
arroz,Granada,Mediana,1.81,True
banano,Granada,Mediana,5.28,True
café,Murcia,Mediana,9.28,True
maíz,Granada,Mediana,1.48,False
cacao,Canarias,Grande,6.79,True
café,Murcia,Mediana,2.67,False
banano,Murcia,Mediana,3.66,False
cacao,Valencia,Mediana,9.4,True
cacao,Valencia,Mediana,7.78,True
maíz,Murcia,Pequeña,6.66,False
banano,Murcia,Grande,2.46,False
trigo,Granada,Pequeña,3.16,False
trigo,Almeria,Mediana,2.55,False
cacao,Murcia,Pequeña,4.69,True
arroz,Canarias,Mediana,9.23,True
banano,Canarias,Mediana,1.6,False
café,Canarias,Mediana,7.57,False
arroz,Canarias,Grande,3.27,True
banano,Granada,Mediana,3.12,False
trigo,Granada,Mediana,5.88,False
café,Granada,Mediana,4.49,False
café,Almeria,Pequeña,3.03,False
banano,Canarias,Pequeña,2.8,False
café,Granada,Pequeña,1.88,True
cacao,Granada,Mediana,5.71,False
cacao,Valencia,Mediana,1.29,True
banano,Granada,Grande,1.86,False
café,Granada,Pequeña,8.69,True
trigo,Valencia,Mediana,5.11,True
maíz,Almeria,Grande,5.01,False
arroz,Murcia,Mediana,5.7,True
banano,Murcia,Grande,9.12,False
banano,Murcia,Grande,8.2,False
arroz,Almeria,Pequeña,5.44,True
maíz,Almeria,Mediana,7.79,False
café,Murcia,Grande,4.96,True
café,Valencia,Mediana,2.06,True
banano,Almeria,Mediana,5.29,True
arroz,Granada,Pequeña,8.72,False
cacao,Granada,Grande,3.3,True
café,Granada,Mediana,2.83,False
banano,Almeria,Grande,9.97,True
trigo,Almeria,Pequeña,2.51,False
arroz,Canarias,Grande,1.92,True
arroz,Almeria,Grande,4.81,True
arroz,Valencia,Pequeña,4.14,False
banano,Granada,Mediana,3.33,False
maíz,Valencia,Pequeña,1.09,False
cacao,Almeria,Pequeña,5.79,True
arroz,Granada,Grande,4.43,True
trigo,Murcia,Mediana,1.07,True
maíz,Murcia,Grande,8.49,True
banano,Valencia,Pequeña,9.34,False
trigo,Murcia,Pequeña,5.53,True
arroz,Granada,Mediana,9.51,True
arroz,Canarias,Mediana,9.95,True
banano,Almeria,Pequeña,7.32,False
banano,Granada,Mediana,1.02,True
cacao,Canarias,Mediana,9.04,False
arroz,Valencia,Grande,4.04,True
arroz,Granada,Pequeña,2.86,True
trigo,Murcia,Pequeña,9.91,True
banano,Granada,Mediana,9.41,False
café,Canarias,Mediana,5.95,False
arroz,Valencia,Mediana,5.64,True
cacao,Canarias,Pequeña,7.75,False
maíz,Granada,Grande,8.79,True
café,Valencia,Pequeña,6.68,False
trigo,Granada,Pequeña,6.32,True
trigo,Murcia,Grande,2.72,False
cacao,Valencia,Pequeña,2.14,False
café,Canarias,Mediana,5.1,True
cacao,Almeria,Mediana,6.65,False
cacao,Canarias,Pequeña,9.09,True
arroz,Almeria,Mediana,1.29,True
cacao,Valencia,Pequeña,9.88,False
arroz,Granada,Grande,8.31,False
arroz,Canarias,Mediana,7.9,True
café,Valencia,Mediana,6.25,True
trigo,Almeria,Grande,7.78,False
banano,Granada,Pequeña,5.07,True
trigo,Canarias,Mediana,2.11,False
trigo,Murcia,Mediana,8.12,False
arroz,Valencia,Mediana,7.75,True
maíz,Murcia,Grande,8.19,True
maíz,Canarias,Pequeña,3.2,True
maíz,Murcia,Grande,4.8,False
cacao,Canarias,Pequeña,4.7,False
banano,Murcia,Pequeña,7.45,True
maíz,Canarias,Mediana,3.73,False
trigo,Granada,Pequeña,3.82,True
banano,Granada,Pequeña,2.23,False
arroz,Valencia,Grande,3.95,True
café,Valencia,Grande,5.95,False
arroz,Almeria,Mediana,1.82,False
banano,Canarias,Mediana,3.17,False
café,Valencia,Grande,6.53,True
trigo,Murcia,Grande,9.43,True
cacao,Granada,Grande,1.1,False
trigo,Almeria,Pequeña,6.53,False
café,Canarias,Pequeña,8.72,True
cacao,Granada,Mediana,4.2,True
cacao,Canarias,Pequeña,8.64,True
cacao,Granada,Grande,6.02,True
maíz,Valencia,Mediana,2.86,False
cacao,Canarias,Mediana,6.48,False
banano,Murcia,Mediana,1.17,False
cacao,Almeria,Mediana,1.03,True
maíz,Almeria,Pequeña,8.31,True
banano,Canarias,Pequeña,1.87,True
arroz,Granada,Mediana,8.53,False
café,Granada,Grande,1.08,False
café,Valencia,Pequeña,7.77,False
cacao,Canarias,Grande,8.09,False
trigo,Valencia,Mediana,6.01,False
cacao,Granada,Grande,7.44,True
arroz,Murcia,Mediana,4.9,True
arroz,Canarias,Pequeña,5.75,False
maíz,Almeria,Pequeña,2.42,False
banano,Murcia,Grande,5.0,False
café,Murcia,Grande,2.09,False
maíz,Murcia,Mediana,5.28,True
banano,Valencia,Mediana,6.49,True
trigo,Murcia,Mediana,1.6,True
café,Murcia,Mediana,2.02,False
café,Canarias,Pequeña,1.09,True
maíz,Valencia,Grande,5.34,False
maíz,Valencia,Grande,2.95,True
café,Granada,Pequeña,3.65,True
trigo,Valencia,Mediana,7.84,False
arroz,Almeria,Pequeña,6.62,False
arroz,Almeria,Mediana,1.96,False
arroz,Granada,Grande,2.94,True
trigo,Murcia,Mediana,7.02,True
cacao,Canarias,Grande,6.57,True
banano,Almeria,Pequeña,6.83,False
arroz,Granada,Grande,8.67,False
cacao,Murcia,Mediana,2.52,True
banano,Murcia,Mediana,6.93,True
cacao,Valencia,Grande,3.86,True
arroz,Almeria,Grande,4.14,False
banano,Almeria,Mediana,6.17,False
banano,Almeria,Grande,1.47,True
maíz,Murcia,Grande,2.68,False
banano,Murcia,Mediana,7.85,True
arroz,Valencia,Grande,6.63,False
arroz,Almeria,Grande,6.27,True
maíz,Murcia,Pequeña,8.19,True
maíz,Almeria,Mediana,4.24,False
cacao,Almeria,Pequeña,5.83,False
banano,Murcia,Pequeña,1.71,False
arroz,Valencia,Grande,8.58,True
trigo,Murcia,Pequeña,8.3,False
trigo,Valencia,Grande,5.65,False
trigo,Murcia,Pequeña,1.91,True
arroz,Valencia,Mediana,5.67,False
maíz,Valencia,Pequeña,2.33,False
cacao,Murcia,Mediana,6.64,True
arroz,Valencia,Grande,8.53,True
maíz,Almeria,Pequeña,3.58,True
banano,Granada,Mediana,5.91,False
cacao,Granada,Pequeña,2.12,False
café,Murcia,Mediana,5.32,False
cacao,Granada,Mediana,6.69,True
café,Canarias,Pequeña,3.33,False
trigo,Murcia,Mediana,9.98,True
banano,Valencia,Pequeña,5.52,True
cacao,Almeria,Pequeña,2.03,False
trigo,Canarias,Pequeña,6.12,True
cacao,Canarias,Grande,4.32,True
arroz,Almeria,Grande,2.45,False
trigo,Murcia,Mediana,3.41,True
trigo,Murcia,Pequeña,6.05,False
trigo,Canarias,Pequeña,6.57,False
arroz,Valencia,Mediana,5.5,True
cacao,Canarias,Mediana,5.47,False
maíz,Valencia,Mediana,8.15,False
arroz,Canarias,Pequeña,7.52,True
maíz,Murcia,Grande,2.1,False
banano,Canarias,Mediana,3.83,True
banano,Canarias,Grande,5.1,False
arroz,Valencia,Pequeña,3.64,True
trigo,Granada,Pequeña,4.77,False
café,Almeria,Grande,8.71,True
banano,Canarias,Mediana,7.54,False
maíz,Murcia,Grande,9.48,False
cacao,Murcia,Mediana,1.81,True
banano,Valencia,Pequeña,6.66,False
maíz,Murcia,Pequeña,6.31,True
maíz,Granada,Pequeña,8.29,True
cacao,Granada,Grande,3.61,True
arroz,Canarias,Grande,9.21,True
café,Valencia,Pequeña,6.33,True
banano,Canarias,Pequeña,1.39,True
café,Almeria,Pequeña,5.4,False
trigo,Almeria,Pequeña,2.94,False
maíz,Almeria,Grande,2.33,False
café,Granada,Grande,3.68,True
trigo,Almeria,Pequeña,3.51,False
maíz,Valencia,Grande,2.03,True
banano,Valencia,Mediana,2.11,False
arroz,Almeria,Grande,7.91,True
arroz,Murcia,Grande,5.24,False
banano,Granada,Pequeña,6.14,True
trigo,Canarias,Grande,6.2,False
cacao,Granada,Mediana,7.45,True
arroz,Valencia,Mediana,8.54,True
trigo,Almeria,Grande,9.96,True
café,Valencia,Pequeña,7.4,False
café,Granada,Pequeña,4.68,True
cacao,Murcia,Grande,6.68,True
trigo,Almeria,Mediana,7.24,True
maíz,Almeria,Mediana,3.38,False
banano,Canarias,Mediana,7.87,True
cacao,Murcia,Pequeña,3.22,False
banano,Granada,Pequeña,5.44,False
trigo,Valencia,Mediana,7.74,True
cacao,Almeria,Pequeña,1.27,True
café,Valencia,Pequeña,1.62,True
cacao,Almeria,Grande,3.23,True
maíz,Murcia,Grande,3.59,True
cacao,Canarias,Mediana,7.09,True
arroz,Valencia,Grande,9.86,True
arroz,Almeria,Mediana,3.14,True
trigo,Almeria,Grande,8.52,True
maíz,Almeria,Mediana,1.68,True
café,Canarias,Grande,3.13,True
café,Almeria,Pequeña,2.64,False
trigo,Almeria,Grande,5.19,False
café,Almeria,Grande,6.69,False
arroz,Almeria,Mediana,3.28,False
maíz,Valencia,Mediana,6.81,True
maíz,Granada,Grande,6.41,False
cacao,Granada,Grande,4.46,False
cacao,Murcia,Pequeña,2.93,False
cacao,Valencia,Pequeña,6.45,True
trigo,Valencia,Pequeña,2.13,True
cacao,Valencia,Mediana,3.87,True
trigo,Granada,Mediana,5.35,True
banano,Murcia,Pequeña,5.9,True
café,Granada,Grande,4.96,False
banano,Valencia,Pequeña,8.74,False
arroz,Valencia,Mediana,8.18,True
cacao,Almeria,Grande,3.52,False
café,Murcia,Mediana,6.53,True
trigo,Murcia,Mediana,5.44,False
cacao,Murcia,Grande,7.63,False
arroz,Granada,Grande,7.27,False
banano,Murcia,Mediana,5.59,True
café,Canarias,Grande,2.76,False
café,Almeria,Pequeña,2.26,False
banano,Almeria,Mediana,3.99,True
café,Valencia,Pequeña,8.39,True
arroz,Almeria,Grande,8.11,True
café,Murcia,Pequeña,6.84,False
café,Canarias,Mediana,6.84,False
trigo,Canarias,Mediana,2.25,False
maíz,Canarias,Pequeña,4.77,True
arroz,Canarias,Grande,4.7,True
maíz,Murcia,Grande,4.28,False
arroz,Almeria,Pequeña,2.63,True
arroz,Valencia,Pequeña,5.38,True
cacao,Canarias,Pequeña,2.59,False
trigo,Valencia,Mediana,1.08,True
trigo,Valencia,Grande,3.21,False
cacao,Almeria,Pequeña,4.61,True
trigo,Almeria,Mediana,4.54,True
maíz,Canarias,Mediana,5.18,False
banano,Murcia,Grande,1.03,False
trigo,Granada,Grande,8.28,True
trigo,Almeria,Mediana,2.72,True
maíz,Murcia,Grande,7.09,False
trigo,Canarias,Mediana,3.14,True
cacao,Canarias,Mediana,3.5,False
cacao,Almeria,Mediana,5.51,False
arroz,Almeria,Grande,4.91,True
trigo,Valencia,Mediana,9.06,True
maíz,Murcia,Mediana,6.1,False
arroz,Canarias,Pequeña,8.45,False
banano,Canarias,Pequeña,3.96,True
café,Valencia,Grande,4.21,True
maíz,Almeria,Mediana,5.94,False
trigo,Almeria,Grande,5.96,True
arroz,Valencia,Grande,1.65,True
banano,Valencia,Mediana,3.39,False
arroz,Murcia,Mediana,3.96,True
trigo,Canarias,Grande,1.48,True
banano,Murcia,Pequeña,6.26,False
arroz,Canarias,Grande,4.74,False
cacao,Valencia,Pequeña,7.84,False
arroz,Almeria,Pequeña,7.71,False
maíz,Almeria,Grande,2.33,True
café,Canarias,Grande,8.59,True
maíz,Valencia,Grande,7.07,False
banano,Almeria,Mediana,4.54,False
arroz,Valencia,Pequeña,1.33,False
cacao,Murcia,Mediana,1.7,False
maíz,Granada,Pequeña,6.38,False
trigo,Murcia,Mediana,3.73,True
maíz,Granada,Mediana,1.09,False
cacao,Valencia,Grande,4.64,True
cacao,Granada,Grande,4.02,True
arroz,Granada,Mediana,6.77,False
banano,Murcia,Mediana,9.45,False
banano,Canarias,Pequeña,8.45,False
banano,Valencia,Grande,7.21,False
cacao,Murcia,Mediana,2.06,True
maíz,Almeria,Mediana,5.26,False
banano,Almeria,Grande,8.35,True
trigo,Canarias,Mediana,4.07,False
maíz,Canarias,Mediana,8.54,True
banano,Valencia,Grande,1.49,True
café,Murcia,Grande,5.38,False
cacao,Granada,Mediana,7.07,True
trigo,Murcia,Pequeña,7.19,False
cacao,Valencia,Pequeña,7.05,True
maíz,Murcia,Pequeña,6.56,False
trigo,Granada,Mediana,1.47,True
arroz,Valencia,Mediana,6.89,False
trigo,Granada,Mediana,3.53,True
café,Valencia,Grande,1.19,False
café,Almeria,Mediana,1.94,True
trigo,Murcia,Grande,6.75,True
arroz,Almeria,Mediana,1.94,False
banano,Almeria,Mediana,8.01,False
banano,Granada,Mediana,2.28,True
trigo,Canarias,Mediana,9.18,True
trigo,Canarias,Mediana,3.38,False
maíz,Canarias,Pequeña,6.36,True
maíz,Valencia,Pequeña,9.62,False
maíz,Canarias,Mediana,2.1,True
arroz,Almeria,Pequeña,7.86,False
café,Murcia,Pequeña,8.92,False
café,Valencia,Mediana,8.31,True
café,Murcia,Pequeña,4.07,True
banano,Canarias,Pequeña,5.43,True
banano,Canarias,Mediana,8.53,False
maíz,Murcia,Pequeña,6.19,True
arroz,Murcia,Grande,4.24,True
arroz,Murcia,Mediana,8.31,True
maíz,Almeria,Grande,5.49,True
banano,Canarias,Grande,1.91,False
maíz,Valencia,Grande,8.67,False
arroz,Almeria,Pequeña,7.53,True
cacao,Canarias,Grande,1.32,True
banano,Valencia,Grande,5.9,False
trigo,Canarias,Mediana,1.31,True
maíz,Granada,Grande,4.13,False
banano,Granada,Pequeña,3.24,True
banano,Granada,Grande,2.86,True
arroz,Almeria,Mediana,3.65,True
banano,Granada,Pequeña,3.38,True
trigo,Murcia,Pequeña,5.0,False
cacao,Valencia,Mediana,5.55,True
café,Granada,Pequeña,9.78,True
trigo,Canarias,Grande,9.25,False
banano,Valencia,Grande,6.98,True
café,Almeria,Grande,3.38,False
cacao,Granada,Grande,5.57,False
café,Granada,Grande,1.16,False
trigo,Canarias,Mediana,8.11,False
arroz,Almeria,Grande,6.16,True
cacao,Almeria,Grande,2.43,True
café,Murcia,Grande,6.54,True
café,Almeria,Grande,8.42,True
café,Granada,Grande,3.14,False
cacao,Canarias,Grande,6.22,True
trigo,Valencia,Pequeña,3.92,True
trigo,Almeria,Pequeña,5.87,True
trigo,Murcia,Grande,9.8,True
café,Almeria,Grande,8.2,True
maíz,Almeria,Pequeña,2.78,True
arroz,Almeria,Pequeña,3.31,False
cacao,Canarias,Grande,5.56,False
trigo,Murcia,Pequeña,7.06,False
trigo,Granada,Pequeña,6.46,True
banano,Murcia,Pequeña,6.05,False
café,Valencia,Pequeña,6.79,False
trigo,Canarias,Pequeña,2.09,True
trigo,Canarias,Pequeña,9.29,False
trigo,Almeria,Pequeña,9.56,False
maíz,Granada,Grande,6.23,False
arroz,Canarias,Mediana,6.45,False
banano,Murcia,Grande,3.53,True
trigo,Valencia,Pequeña,8.35,True
café,Murcia,Grande,6.08,False
cacao,Valencia,Pequeña,7.63,True
cacao,Granada,Pequeña,5.86,True
banano,Almeria,Mediana,2.8,True
banano,Canarias,Grande,3.09,True
café,Granada,Pequeña,8.33,False
arroz,Granada,Mediana,3.47,False
trigo,Valencia,Mediana,2.13,False
banano,Granada,Pequeña,6.2,False
cacao,Murcia,Pequeña,7.54,True
arroz,Almeria,Grande,2.06,False
café,Granada,Mediana,5.52,True
banano,Canarias,Pequeña,2.0,False
arroz,Granada,Grande,4.1,True
cacao,Canarias,Pequeña,8.39,True
banano,Almeria,Pequeña,9.74,True
banano,Valencia,Pequeña,5.74,False
arroz,Granada,Grande,3.49,False
banano,Canarias,Grande,7.65,False
trigo,Valencia,Grande,1.82,False
arroz,Almeria,Pequeña,9.48,False
arroz,Valencia,Grande,4.42,True
arroz,Canarias,Grande,2.95,True
trigo,Almeria,Grande,2.6,True
banano,Almeria,Mediana,4.86,False
arroz,Almeria,Grande,3.21,True
arroz,Canarias,Mediana,1.56,False
arroz,Granada,Mediana,6.06,False
café,Valencia,Mediana,9.28,False
maíz,Valencia,Grande,9.67,False
banano,Valencia,Pequeña,1.53,False
café,Murcia,Grande,3.08,True
maíz,Granada,Grande,4.76,True
café,Canarias,Pequeña,3.51,False
café,Murcia,Grande,6.67,False
café,Almeria,Pequeña,9.66,True
café,Valencia,Pequeña,3.36,False
café,Almeria,Mediana,5.42,True
trigo,Granada,Mediana,4.99,False
cacao,Canarias,Grande,6.96,True
